id,x,y,z,type,excitation_type,layer
3140208388,361510,134853,3072,PYRAMIDAL,1,2
3297578604,250739,159892,640,INTERNEURON,0,4
47431467114,191143,113063,4096,PYRAMIDAL,1,4
38179732990,387020,121884,4736,INTERNEURON,0,2
4680759390,292136,173299,640,INTERNEURON,0,4
32757608869,175375,224671,2944,INTERNEURON,0,6
2631072364,370949,133753,768,PYRAMIDAL,1,2
2062844003,367335,106563,1920,PYRAMIDAL,1,2
5237904381,410548,185725,2304,PYRAMIDAL,1,2
708061219,328026,60789,1536,PYRAMIDAL,1,2
68780698992,426610,243028,3200,PYRAMIDAL,1,2
32311853746,327430,219462,3968,PYRAMIDAL,1,4
58765302682,427547,206867,2944,INTERNEURON,0,2
35862482039,293142,58296,3456,PYRAMIDAL,1,2
36821225608,237637,78565,2432,PYRAMIDAL,1,0
18687456361,371823,62938,1536,INTERNEURON,0,1
1623253185,291175,87233,128,PYRAMIDAL,1,3
2947314487,246219,137744,768,PYRAMIDAL,1,4
48400346098,421464,159727,2816,INTERNEURON,0,1
56318862276,398516,132223,3968,INTERNEURON,0,2
6384755758,305975,218058,3584,PYRAMIDAL,1,4
2949212200,330692,131284,3328,PYRAMIDAL,1,3
4167593896,161916,185596,1536,PYRAMIDAL,1,6
42138312710,331292,241928,3712,INTERNEURON,0,4
7298355944,196517,263295,1792,PYRAMIDAL,1,7
2543700057,382081,127367,2176,PYRAMIDAL,1,2
664740839,332130,72215,1024,PYRAMIDAL,1,2
32416017649,410084,211027,2560,PYRAMIDAL,1,2
3269032756,313168,144302,3968,PYRAMIDAL,1,3
29396590076,216304,134441,3074,PYRAMIDAL,1,4
1494486333,347585,79961,1280,PYRAMIDAL,1,2
4306799115,416190,172343,896,PYRAMIDAL,1,2
6401691672,403202,227075,2176,PYRAMIDAL,1,3
59245719785,427179,228420,4096,PYRAMIDAL,1,2
3473739649,353399,156646,1664,PYRAMIDAL,1,3
4215353416,251315,179553,3456,PYRAMIDAL,1,5
3617193904,265068,140328,2176,PYRAMIDAL,1,4
5319189314,207157,212994,256,PYRAMIDAL,1,6
5539970065,302395,198067,1920,PYRAMIDAL,1,4
55920327455,237278,118617,3840,INTERNEURON,0,4
3530521828,264336,162361,640,PYRAMIDAL,1,4
5348654436,229819,187054,4224,INTERNEURON,0,5
881579396,281530,77252,1792,PYRAMIDAL,1,2
5679905820,134486,206603,2176,PYRAMIDAL,1,7
4460415817,205357,202185,2560,PYRAMIDAL,1,6
30182472968,227147,145119,4224,PYRAMIDAL,1,4
4362955132,363719,185597,1920,PYRAMIDAL,1,3
4595431778,373492,163604,2432,INTERNEURON,0,3
41541947983,358785,232068,4352,PYRAMIDAL,1,3
36764998073,304523,87904,3712,PYRAMIDAL,1,2
41559063114,432398,239175,1664,PYRAMIDAL,1,2
2642416816,281841,123801,3840,PYRAMIDAL,1,3
3472088629,260280,159645,1280,PYRAMIDAL,1,4
3385679904,300719,151909,1280,PYRAMIDAL,1,3
57352977341,426093,161828,3712,INTERNEURON,0,1
16427513052,265601,260376,1152,PYRAMIDAL,1,5
47650861288,199287,101800,3584,PYRAMIDAL,1,4
1799120646,313931,87445,2176,PYRAMIDAL,1,2
2934086754,299031,121021,3840,PYRAMIDAL,1,3
5977854757,302379,218683,2432,PYRAMIDAL,1,4
38383811673,383542,143567,4224,PYRAMIDAL,1,2
2776001292,355099,130339,256,INTERNEURON,0,2
39705814947,294444,178869,2688,INTERNEURON,0,4
29692989917,383786,145784,2944,PYRAMIDAL,1,2
1988993337,324757,93333,1792,INTERNEURON,0,2
29199971792,438697,114038,1664,INTERNEURON,0,1
4421810663,385280,168598,2688,PYRAMIDAL,1,2
41075241403,337743,209664,5248,INTERNEURON,0,4
29964611173,232486,137125,1792,INTERNEURON,0,4
71772851862,225438,71116,4480,PYRAMIDAL,1,0
2407077274,209695,106111,384,PYRAMIDAL,1,4
6137574188,338353,215020,4224,PYRAMIDAL,1,4
28612121565,269568,98974,2816,PYRAMIDAL,1,3
40572808283,113332,189210,3072,INTERNEURON,0,7
68807637236,331845,259244,4480,PYRAMIDAL,1,4
29037813198,377341,115655,2688,PYRAMIDAL,1,2
4522368069,350448,188754,640,PYRAMIDAL,1,3
2804954335,364359,121230,4224,PYRAMIDAL,1,2
4666217668,268529,178540,2304,PYRAMIDAL,1,4
6414759631,345850,227695,1664,PYRAMIDAL,1,4
28496116669,278344,93857,3584,INTERNEURON,0,3
52451307099,113067,286295,4608,PYRAMIDAL,1,7
4380183290,402228,194741,128,PYRAMIDAL,1,2
28308815228,357141,99233,5120,PYRAMIDAL,1,2
32908508799,318776,221437,4736,PYRAMIDAL,1,4
7079616124,224597,251899,3840,PYRAMIDAL,1,6
38667550998,159928,139777,2560,PYRAMIDAL,1,5
3212804083,359320,127237,3200,PYRAMIDAL,1,2
2848904139,349587,133862,0,PYRAMIDAL,1,3
2819965007,375634,137032,1408,PYRAMIDAL,1,2
78226113494,362086,257787,4608,INTERNEURON,0,4
3326984141,262857,162953,0,PYRAMIDAL,1,4
1815548089,364335,100506,1152,PYRAMIDAL,1,2
73329143334,196440,105579,4480,INTERNEURON,0,4
4377350679,356690,167160,3072,PYRAMIDAL,1,3
