id,x,y,z,type,excitation_type
8310955,27883.902,21803.226,45504.769,LHN,2
8311264,78091.469,59784.735,39868.702,LN,0
8313802,18600.641,36911.612,52550.858,UNKNOWN,1
8318678,74115.864,28178.654,55395.433,KC,1
8318813,47289.309,32100.305,35540.156,CN,2
8319311,49856.364,29113.436,46734.811,MBIN,1
8338584,60546.831,34390.375,39842.235,MBON,2
8340950,85983.953,40678.429,70605.845,PN,1
8347613,74460.507,33909.098,53765.014,LHN,2
8347720,87483.266,35854.849,56830.986,pre-DN-VNC,3
8347907,81313.137,45391.982,59713.386,pre-DN-VNC,3
8348277,85954.705,35975.562,58402.340,pre-DN-VNC,3
8349454,43292.947,53427.663,52362.042,PN,1
8349553,31820.550,29728.620,50157.299,LHN,2
8357933,70882.626,55074.879,49193.991,DN-SEZ,0
8370111,50801.489,39331.627,36216.340,PN,1
8391330,68330.601,62845.447,91366.921,DN-VNC,1
8393981,74443.660,29075.240,52440.922,KC,1
8398900,83735.446,35300.137,68644.865,UNKNOWN,1
8399890,77736.440,44189.996,48834.771,PN,1
8412625,30436.130,37895.599,49916.663,PN-somato,1
8413543,20117.957,41560.950,57898.018,UNKNOWN,1
8413663,31878.384,25880.498,41116.805,KC,1
